t,V,I,R
266,0.15,0.85,0
267,0.147,0.853,0
268,0.179,0.821,0
269,0.153,0.847,0
270,0.167,0.833,0
271,0.178,0.822,0
272,0.151,0.849,0
273,0.174,0.826,0
274,0.167,0.833,0
275,0.173,0.827,0
276,0.162,0.838,0
277,0.154,0.846,0
278,0.162,0.838,0
279,0.159,0.841,0
280,0.183,0.817,0
281,0.143,0.857,0
282,0.182,0.818,0
283,0.175,0.825,0
284,0.161,0.839,0
285,0.166,0.834,0
286,0.173,0.827,0
287,0.173,0.827,0
288,0.173,0.827,0
289,0.176,0.824,0
290,0.166,0.834,0
291,0.174,0.826,0
292,0.15,0.85,0
293,0.157,0.843,0
294,0.166,0.834,0
295,0.156,0.844,0
296,0.167,0.833,0
297,0.167,0.833,0
298,0.183,0.817,0
299,0.182,0.818,0
300,0.17,0.83,0
301,0.174,0.826,0
302,0.194,0.806,0
303,0.171,0.829,0
304,0.169,0.831,0
305,0.176,0.824,0
306,0.157,0.843,0
307,0.159,0.841,0
308,0.151,0.849,0
309,0.165,0.835,0
310,0.148,0.852,0
311,0.176,0.824,0
312,0.191,0.809,0
313,0.166,0.834,0
314,0.169,0.831,0
315,0.139,0.861,0
316,0.187,0.813,0
317,0.177,0.823,0
318,0.153,0.847,0
319,0.187,0.813,0
320,0.16,0.84,0
321,0.163,0.837,0
322,0.182,0.818,0
323,0.148,0.852,0
324,0.16,0.84,0
325,0.184,0.816,0
326,0.154,0.846,0
327,0.172,0.828,0
328,0.18,0.82,0
329,0.173,0.827,0
330,0.153,0.847,0
331,0.154,0.846,0
332,0.178,0.822,0
333,0.154,0.846,0
334,0.148,0.852,0
335,0.194,0.806,0
336,0.164,0.836,0
337,0.156,0.844,0
338,0.192,0.808,0
339,0.158,0.842,0
340,0.15,0.85,0
341,0.189,0.811,0
342,0.178,0.822,0
343,0.158,0.842,0
344,0.182,0.818,0
345,0.155,0.845,0
346,0.162,0.838,0
347,0.166,0.834,0
348,0.144,0.856,0
349,0.16,0.84,0
350,0.18,0.82,0
351,0.152,0.848,0
352,0.181,0.819,0
353,0.149,0.851,0
354,0.171,0.829,0
355,0.18,0.82,0
356,0.167,0.833,0
357,0.149,0.851,0
358,0.168,0.832,0
359,0.157,0.843,0
360,0.158,0.842,0
361,0.18,0.82,0
362,0.167,0.833,0
363,0.165,0.835,0
364,0.17,0.83,0
365,0.171,0.829,0
366,0.174,0.826,0
367,0.154,0.846,0
368,0.16,0.84,0
369,0.165,0.835,0
370,0.169,0.831,0
371,0.17,0.83,0
372,0.147,0.853,0
373,0.177,0.823,0
374,0.153,0.847,0
375,0.172,0.828,0
376,0.175,0.825,0
377,0.158,0.842,0
378,0.174,0.826,0
379,0.191,0.809,0
380,0.165,0.835,0
381,0.151,0.849,0
382,0.163,0.837,0
383,0.158,0.842,0
384,0.176,0.824,0
385,0.156,0.844,0
386,0.165,0.835,0
387,0.161,0.839,0
388,0.164,0.836,0
389,0.163,0.837,0
390,0.181,0.819,0
391,0.17,0.83,0
392,0.172,0.828,0
393,0.178,0.822,0
394,0.171,0.829,0
