t,V,I,R
266,0.165,0.835,0
267,0.181,0.819,0
268,0.176,0.824,0
269,0.179,0.821,0
270,0.165,0.835,0
271,0.159,0.841,0
272,0.186,0.814,0
273,0.16,0.84,0
274,0.189,0.811,0
275,0.182,0.818,0
276,0.161,0.839,0
277,0.183,0.817,0
278,0.172,0.828,0
279,0.18,0.82,0
280,0.172,0.828,0
281,0.2,0.8,0
282,0.197,0.803,0
283,0.159,0.841,0
284,0.165,0.835,0
285,0.175,0.825,0
286,0.199,0.801,0
287,0.199,0.801,0
288,0.168,0.832,0
289,0.187,0.813,0
290,0.21,0.79,0
291,0.173,0.827,0
292,0.182,0.818,0
293,0.162,0.838,0
294,0.18,0.82,0
295,0.178,0.822,0
296,0.176,0.824,0
297,0.17,0.83,0
298,0.165,0.835,0
299,0.184,0.816,0
300,0.177,0.823,0
301,0.191,0.809,0
302,0.169,0.831,0
303,0.176,0.824,0
304,0.186,0.814,0
305,0.174,0.826,0
306,0.188,0.812,0
307,0.189,0.811,0
308,0.161,0.839,0
309,0.189,0.811,0
310,0.167,0.833,0
311,0.167,0.833,0
312,0.19,0.81,0
313,0.173,0.827,0
314,0.184,0.816,0
315,0.171,0.829,0
316,0.158,0.842,0
317,0.177,0.823,0
318,0.176,0.824,0
319,0.182,0.818,0
320,0.205,0.795,0
321,0.184,0.816,0
322,0.18,0.82,0
323,0.188,0.812,0
324,0.176,0.824,0
325,0.176,0.824,0
326,0.179,0.821,0
327,0.194,0.806,0
328,0.2,0.8,0
329,0.17,0.83,0
330,0.205,0.795,0
331,0.163,0.837,0
332,0.197,0.803,0
333,0.173,0.827,0
334,0.202,0.798,0
335,0.176,0.824,0
336,0.196,0.804,0
337,0.18,0.82,0
338,0.186,0.814,0
339,0.189,0.811,0
340,0.189,0.811,0
341,0.16,0.84,0
342,0.175,0.825,0
343,0.178,0.822,0
344,0.18,0.82,0
345,0.179,0.821,0
346,0.18,0.82,0
347,0.182,0.818,0
348,0.187,0.813,0
349,0.186,0.814,0
350,0.164,0.836,0
351,0.156,0.844,0
352,0.174,0.826,0
353,0.177,0.823,0
354,0.169,0.831,0
355,0.169,0.831,0
356,0.168,0.832,0
357,0.186,0.814,0
358,0.177,0.823,0
359,0.176,0.824,0
360,0.17,0.83,0
361,0.176,0.824,0
362,0.177,0.823,0
363,0.172,0.828,0
364,0.167,0.833,0
365,0.169,0.831,0
366,0.168,0.832,0
367,0.172,0.828,0
368,0.199,0.801,0
369,0.156,0.844,0
370,0.186,0.814,0
371,0.205,0.795,0
372,0.168,0.832,0
373,0.177,0.823,0
374,0.16,0.84,0
375,0.18,0.82,0
376,0.168,0.832,0
377,0.176,0.824,0
378,0.18,0.82,0
379,0.178,0.822,0
380,0.191,0.809,0
381,0.189,0.811,0
382,0.171,0.829,0
383,0.181,0.819,0
384,0.176,0.824,0
385,0.185,0.815,0
386,0.192,0.808,0
387,0.177,0.823,0
388,0.177,0.823,0
389,0.166,0.834,0
390,0.186,0.814,0
391,0.183,0.817,0
392,0.167,0.833,0
393,0.201,0.799,0
394,0.162,0.838,0
395,0.189,0.811,0
396,0.194,0.806,0
397,0.164,0.836,0
398,0.188,0.812,0
399,0.182,0.818,0
400,0.199,0.801,0
401,0.19,0.81,0
402,0.194,0.806,0
403,0.17,0.83,0
404,0.185,0.815,0
405,0.192,0.808,0
406,0.17,0.83,0
407,0.171,0.829,0
408,0.17,0.83,0
409,0.174,0.826,0
410,0.174,0.826,0
411,0.159,0.841,0
412,0.165,0.835,0
413,0.186,0.814,0
414,0.168,0.832,0
415,0.18,0.82,0
416,0.184,0.816,0
417,0.185,0.815,0
418,0.172,0.828,0
419,0.194,0.806,0
420,0.184,0.816,0
421,0.172,0.828,0
422,0.185,0.815,0
423,0.173,0.827,0
424,0.174,0.826,0
425,0.161,0.839,0
426,0.167,0.833,0
427,0.174,0.826,0
428,0.179,0.821,0
429,0.157,0.843,0
430,0.183,0.817,0
431,0.165,0.835,0
432,0.179,0.821,0
433,0.176,0.824,0
434,0.207,0.793,0
435,0.192,0.808,0
436,0.176,0.824,0
437,0.184,0.816,0
438,0.177,0.823,0
439,0.164,0.836,0
440,0.165,0.835,0
441,0.188,0.812,0
442,0.186,0.814,0
443,0.187,0.813,0
444,0.176,0.824,0
445,0.195,0.805,0
446,0.153,0.847,0
447,0.167,0.833,0
448,0.184,0.816,0
449,0.185,0.815,0
450,0.182,0.818,0
451,0.187,0.813,0
452,0.176,0.824,0
453,0.172,0.828,0
454,0.161,0.839,0
455,0.182,0.818,0
456,0.197,0.803,0
457,0.175,0.825,0
458,0.191,0.809,0
459,0.175,0.825,0
460,0.163,0.837,0
461,0.165,0.835,0
462,0.165,0.835,0
463,0.187,0.813,0
464,0.186,0.814,0
465,0.185,0.815,0
466,0.19,0.81,0
467,0.189,0.811,0
468,0.191,0.809,0
469,0.161,0.839,0
470,0.175,0.825,0
471,0.182,0.818,0
472,0.2,0.8,0
473,0.181,0.819,0
474,0.165,0.835,0
475,0.197,0.803,0
476,0.192,0.808,0
477,0.186,0.814,0
478,0.183,0.817,0
479,0.192,0.808,0
480,0.198,0.802,0
481,0.18,0.82,0
482,0.2,0.8,0
483,0.16,0.84,0
484,0.167,0.833,0
485,0.166,0.834,0
486,0.187,0.813,0
487,0.198,0.802,0
488,0.16,0.84,0
489,0.201,0.799,0
490,0.182,0.818,0
491,0.195,0.805,0
492,0.184,0.816,0
493,0.194,0.806,0
494,0.196,0.804,0
495,0.173,0.827,0
496,0.198,0.802,0
497,0.163,0.837,0
498,0.192,0.808,0
499,0.166,0.834,0
