t,V,I,R
166,0.8701171875,0.1298828125,0
167,0.859375,0.140625,0
168,0.83984375,0.16015625,0
169,0.84375,0.15625,0
170,0.8359375,0.1640625,0
171,0.845703125,0.154296875,0
172,0.8447265625,0.1552734375,0
173,0.841796875,0.158203125,0
174,0.86328125,0.13671875,0
175,0.8564453125,0.1435546875,0
176,0.8515625,0.1484375,0
177,0.8515625,0.1484375,0
178,0.8466796875,0.1533203125,0
179,0.841796875,0.158203125,0
180,0.830078125,0.169921875,0
181,0.8349609375,0.1650390625,0
182,0.8388671875,0.1611328125,0
183,0.8408203125,0.1591796875,0
184,0.8359375,0.1640625,0
185,0.845703125,0.154296875,0
186,0.8359375,0.1640625,0
187,0.83203125,0.16796875,0
188,0.8330078125,0.1669921875,0
189,0.828125,0.171875,0
190,0.83203125,0.16796875,0
191,0.833984375,0.166015625,0
192,0.822265625,0.177734375,0
193,0.833984375,0.166015625,0
194,0.828125,0.171875,0
195,0.8349609375,0.1650390625,0
196,0.8271484375,0.1728515625,0
197,0.8212890625,0.1787109375,0
198,0.8115234375,0.1884765625,0
199,0.810546875,0.189453125,0
200,0.8212890625,0.1787109375,0
201,0.818359375,0.181640625,0
202,0.810546875,0.189453125,0
203,0.82421875,0.17578125,0
204,0.826171875,0.173828125,0
205,0.8212890625,0.1787109375,0
206,0.826171875,0.173828125,0
207,0.8115234375,0.1884765625,0
208,0.814453125,0.185546875,0
209,0.814453125,0.185546875,0
210,0.8115234375,0.1884765625,0
211,0.8193359375,0.1806640625,0
212,0.818359375,0.181640625,0
213,0.8154296875,0.1845703125,0
214,0.8271484375,0.1728515625,0
215,0.8271484375,0.1728515625,0
216,0.826171875,0.173828125,0
217,0.8232421875,0.1767578125,0
218,0.814453125,0.185546875,0
219,0.818359375,0.181640625,0
220,0.8125,0.1875,0
221,0.8125,0.1875,0
222,0.8046875,0.1953125,0
223,0.796875,0.203125,0
224,0.806640625,0.193359375,0
225,0.8232421875,0.1767578125,0
226,0.822265625,0.177734375,0
227,0.826171875,0.173828125,0
228,0.82421875,0.17578125,0
229,0.828125,0.171875,0
230,0.826171875,0.173828125,0
231,0.8212890625,0.1787109375,0
232,0.8125,0.1875,0
233,0.8095703125,0.1904296875,0
234,0.81640625,0.18359375,0
235,0.7998046875,0.2001953125,0
236,0.796875,0.203125,0
237,0.802734375,0.197265625,0
238,0.8017578125,0.1982421875,0
239,0.7939453125,0.2060546875,0
240,0.798828125,0.201171875,0
241,0.798828125,0.201171875,0
242,0.787109375,0.212890625,0
243,0.798828125,0.201171875,0
244,0.794921875,0.205078125,0
245,0.783203125,0.216796875,0
246,0.77734375,0.22265625,0
247,0.7607421875,0.2392578125,0
248,0.7421875,0.2578125,0
249,0.7412109375,0.2587890625,0
250,0.744140625,0.255859375,0
251,0.74609375,0.25390625,0
252,0.7470703125,0.2529296875,0
253,0.744140625,0.255859375,0
254,0.7529296875,0.2470703125,0
255,0.7626953125,0.2373046875,0
256,0.7373046875,0.2626953125,0
257,0.7509765625,0.2490234375,0
258,0.755859375,0.244140625,0
259,0.75,0.25,0
260,0.7451171875,0.2548828125,0
261,0.732421875,0.267578125,0
262,0.73828125,0.26171875,0
263,0.7412109375,0.2587890625,0
264,0.75390625,0.24609375,0
265,0.740234375,0.259765625,0
266,0.7392578125,0.2607421875,0
267,0.7421875,0.2578125,0
268,0.73828125,0.26171875,0
269,0.7314453125,0.2685546875,0
270,0.7255859375,0.2744140625,0
271,0.7421875,0.2578125,0
272,0.7314453125,0.2685546875,0
273,0.7275390625,0.2724609375,0
274,0.744140625,0.255859375,0
275,0.75,0.25,0
276,0.7392578125,0.2607421875,0
277,0.744140625,0.255859375,0
278,0.7275390625,0.2724609375,0
279,0.71875,0.28125,0
280,0.7138671875,0.2861328125,0
281,0.716796875,0.283203125,0
282,0.7099609375,0.2900390625,0
283,0.70703125,0.29296875,0
284,0.697265625,0.302734375,0
285,0.7001953125,0.2998046875,0
286,0.6923828125,0.3076171875,0
287,0.6953125,0.3046875,0
288,0.7158203125,0.2841796875,0
289,0.7138671875,0.2861328125,0
290,0.728515625,0.271484375,0
291,0.728515625,0.271484375,0
292,0.712890625,0.287109375,0
293,0.6875,0.3125,0
294,0.693359375,0.306640625,0
295,0.70703125,0.29296875,0
296,0.7109375,0.2890625,0
297,0.720703125,0.279296875,0
298,0.7119140625,0.2880859375,0
299,0.6982421875,0.3017578125,0
300,0.712890625,0.287109375,0
301,0.71484375,0.28515625,0
302,0.7060546875,0.2939453125,0
303,0.7158203125,0.2841796875,0
304,0.708984375,0.291015625,0
305,0.6982421875,0.3017578125,0
306,0.6875,0.3125,0
307,0.69921875,0.30078125,0
308,0.6982421875,0.3017578125,0
309,0.7060546875,0.2939453125,0
310,0.712890625,0.287109375,0
311,0.7158203125,0.2841796875,0
312,0.724609375,0.275390625,0
313,0.7255859375,0.2744140625,0
314,0.73046875,0.26953125,0
315,0.7333984375,0.2666015625,0
316,0.71484375,0.28515625,0
317,0.71875,0.28125,0
318,0.720703125,0.279296875,0
319,0.7216796875,0.2783203125,0
320,0.7265625,0.2734375,0
321,0.7373046875,0.2626953125,0
322,0.7314453125,0.2685546875,0
323,0.7275390625,0.2724609375,0
324,0.7255859375,0.2744140625,0
325,0.72265625,0.27734375,0
326,0.7216796875,0.2783203125,0
327,0.7236328125,0.2763671875,0
328,0.7158203125,0.2841796875,0
329,0.7158203125,0.2841796875,0
330,0.7255859375,0.2744140625,0
331,0.71484375,0.28515625,0
332,0.720703125,0.279296875,0
333,0.7119140625,0.2880859375,0
334,0.712890625,0.287109375,0
335,0.70703125,0.29296875,0
336,0.701171875,0.298828125,0
337,0.6884765625,0.3115234375,0
338,0.703125,0.296875,0
339,0.69140625,0.30859375,0
340,0.6748046875,0.3251953125,0
341,0.669921875,0.330078125,0
342,0.6708984375,0.3291015625,0
343,0.6591796875,0.3408203125,0
344,0.6572265625,0.3427734375,0
345,0.66796875,0.33203125,0
346,0.669921875,0.330078125,0
347,0.6689453125,0.3310546875,0
348,0.6474609375,0.3525390625,0
349,0.6591796875,0.3408203125,0
350,0.6728515625,0.3271484375,0
351,0.666015625,0.333984375,0
352,0.6748046875,0.3251953125,0
353,0.6796875,0.3203125,0
354,0.673828125,0.326171875,0
