t,V,I,R
266,0.765,0.235,0
267,0.73,0.27,0
268,0.78,0.22,0
269,0.754,0.246,0
270,0.736,0.264,0
271,0.792,0.208,0
272,0.756,0.244,0
273,0.725,0.275,0
274,0.787,0.213,0
275,0.762,0.238,0
276,0.742,0.258,0
277,0.73,0.27,0
278,0.72,0.28,0
279,0.698,0.302,0
280,0.694,0.306,0
281,0.687,0.313,0
282,0.663,0.337,0
283,0.661,0.339,0
284,0.656,0.344,0
285,0.666,0.334,0
286,0.733,0.267,0
287,0.702,0.298,0
288,0.666,0.334,0
289,0.678,0.322,0
290,0.684,0.316,0
291,0.669,0.331,0
292,0.679,0.321,0
293,0.692,0.308,0
294,0.758,0.242,0
295,0.719,0.281,0
296,0.716,0.284,0
297,0.704,0.296,0
298,0.705,0.295,0
299,0.674,0.326,0
300,0.736,0.264,0
301,0.73,0.27,0
302,0.775,0.225,0
303,0.762,0.238,0
304,0.744,0.256,0
305,0.787,0.213,0
306,0.762,0.238,0
307,0.729,0.271,0
308,0.723,0.277,0
309,0.704,0.296,0
310,0.693,0.307,0
311,0.707,0.293,0
312,0.707,0.293,0
313,0.709,0.291,0
314,0.697,0.303,0
315,0.684,0.316,0
316,0.756,0.244,0
317,0.735,0.265,0
318,0.704,0.296,0
319,0.688,0.312,0
320,0.694,0.306,0
321,0.682,0.318,0
322,0.664,0.336,0
323,0.664,0.336,0
324,0.673,0.327,0
325,0.675,0.325,0
326,0.688,0.312,0
327,0.667,0.333,0
328,0.667,0.333,0
329,0.675,0.325,0
330,0.676,0.324,0
331,0.667,0.333,0
332,0.734,0.266,0
333,0.729,0.271,0
334,0.724,0.276,0
335,0.777,0.223,0
336,0.758,0.242,0
337,0.726,0.274,0
338,0.707,0.293,0
339,0.69,0.31,0
340,0.683,0.317,0
341,0.7,0.3,0
342,0.754,0.246,0
343,0.744,0.256,0
344,0.717,0.283,0
345,0.702,0.298,0
346,0.684,0.316,0
347,0.654,0.346,0
348,0.727,0.273,0
349,0.724,0.276,0
350,0.714,0.286,0
351,0.677,0.323,0
352,0.657,0.343,0
353,0.656,0.344,0
354,0.65,0.35,0
355,0.731,0.269,0
356,0.718,0.282,0
357,0.714,0.286,0
358,0.689,0.311,0
359,0.695,0.305,0
360,0.694,0.306,0
361,0.699,0.301,0
362,0.758,0.242,0
363,0.725,0.275,0
364,0.702,0.298,0
365,0.755,0.245,0
366,0.719,0.281,0
367,0.694,0.306,0
368,0.682,0.318,0
369,0.746,0.254,0
370,0.728,0.272,0
371,0.707,0.293,0
372,0.679,0.321,0
373,0.674,0.326,0
374,0.735,0.265,0
375,0.726,0.274,0
376,0.736,0.264,0
377,0.725,0.275,0
378,0.715,0.285,0
379,0.694,0.306,0
380,0.75,0.25,0
381,0.73,0.27,0
382,0.726,0.274,0
383,0.708,0.292,0
384,0.684,0.316,0
385,0.675,0.325,0
386,0.668,0.332,0
387,0.676,0.324,0
388,0.746,0.254,0
389,0.736,0.264,0
390,0.707,0.293,0
391,0.775,0.225,0
392,0.744,0.256,0
393,0.724,0.276,0
394,0.7,0.3,0
395,0.683,0.317,0
396,0.686,0.314,0
397,0.679,0.321,0
398,0.666,0.334,0
399,0.678,0.322,0
400,0.743,0.257,0
401,0.724,0.276,0
402,0.714,0.286,0
403,0.691,0.309,0
404,0.681,0.319,0
405,0.686,0.314,0
406,0.744,0.256,0
407,0.712,0.288,0
408,0.688,0.312,0
409,0.675,0.325,0
410,0.733,0.267,0
411,0.71,0.29,0
412,0.678,0.322,0
413,0.736,0.264,0
414,0.715,0.285,0
415,0.699,0.301,0
416,0.689,0.311,0
417,0.674,0.326,0
418,0.667,0.333,0
419,0.74,0.26,0
420,0.725,0.275,0
421,0.789,0.211,0
422,0.755,0.245,0
423,0.802,0.198,0
424,0.758,0.242,0
425,0.745,0.255,0
426,0.79,0.21,0
427,0.76,0.24,0
428,0.8,0.2,0
429,0.761,0.239,0
430,0.751,0.249,0
431,0.714,0.286,0
432,0.701,0.299,0
433,0.688,0.312,0
434,0.678,0.322,0
435,0.682,0.318,0
436,0.75,0.25,0
437,0.722,0.278,0
438,0.696,0.304,0
439,0.758,0.242,0
440,0.724,0.276,0
441,0.708,0.292,0
442,0.767,0.233,0
443,0.74,0.26,0
444,0.72,0.28,0
445,0.779,0.221,0
446,0.742,0.258,0
447,0.723,0.277,0
448,0.685,0.315,0
449,0.681,0.319,0
450,0.669,0.331,0
451,0.754,0.246,0
452,0.725,0.275,0
453,0.71,0.29,0
454,0.703,0.297,0
455,0.698,0.302,0
456,0.683,0.317,0
457,0.67,0.33,0
458,0.671,0.329,0
459,0.736,0.264,0
460,0.711,0.289,0
461,0.755,0.245,0
462,0.735,0.265,0
463,0.788,0.212,0
464,0.737,0.263,0
465,0.705,0.295,0
466,0.691,0.309,0
467,0.682,0.318,0
468,0.666,0.334,0
469,0.719,0.281,0
470,0.725,0.275,0
471,0.778,0.222,0
472,0.722,0.278,0
473,0.697,0.303,0
474,0.775,0.225,0
475,0.733,0.267,0
476,0.697,0.303,0
477,0.679,0.321,0
478,0.734,0.266,0
479,0.72,0.28,0
480,0.716,0.284,0
481,0.712,0.288,0
482,0.776,0.224,0
483,0.744,0.256,0
484,0.717,0.283,0
485,0.701,0.299,0
486,0.692,0.308,0
487,0.746,0.254,0
488,0.728,0.272,0
489,0.713,0.287,0
490,0.686,0.314,0
491,0.737,0.263,0
492,0.7,0.3,0
493,0.69,0.31,0
494,0.678,0.322,0
495,0.662,0.338,0
496,0.668,0.332,0
497,0.661,0.339,0
498,0.64,0.36,0
499,0.658,0.342,0
